question,answer,tags,description
Adakah imbasan termasuk gambar dan laporan?,"Ya, semua imbasan termasuk softcopy gambar dan laporan ringkas yang dijana oleh mesin. Sila ambil maklum bahawa laporan tersebut tidak disahkan oleh pakar radiologi. Cetakan gambar boleh disediakan atas permintaan dengan caj tambahan.","Ultrasound Image, Video | Report",""
Sonographer di Sonobee lelaki atau perempuan?,Semua sonographer di Sonobee adalah perempuan.,Sonographer,""
Bila tarikh akhir untuk sertai posting review?,Terima kasih kerana berminat untuk sertai posting review. Tiada tarikh akhir untuk penyertaan ini.,Review Campaign,""
Bolehkah saya tahu sama ada kandungan saya dalam keadaan baik semasa imbasan?,"Ya, sonographer akan memaklumkan kepada puan semasa imbasan. Jika tiada sebarang masalah dimaklumkan, ini biasanya bermaksud keadaan kandungan adalah baik.",General,""
Bolehkah saya dengar degupan jantung bayi daripada video yang diberikan?,"Tidak puan, video yang diberikan tidak mempunyai bunyi, jadi degupan jantung bayi tidak boleh didengar daripada video tersebut.","Ultrasound Image, Video",""
Bagaimana saya boleh membuat aduan atau memberi maklum balas?,"Sekiranya anda mempunyai sebarang maklum balas atau aduan, kami amat menghargai jika anda dapat kongsikannya melalui WhatsApp di 018-2567226. Setiap pandangan anda sangat bernilai dalam usaha kami untuk menambah baik mutu perkhidmatan. Terima kasih atas sokongan dan kepercayaan anda! ❤️",Complaint,""
Adakah saya akan menerima softcopy untuk repeat scan?,"Ya, softcopy akan diberikan. Ia akan dimuat naik ke dalam aplikasi Flabee Care dalam tempoh 3 hingga 5 hari bekerja. Setelah siap, anda akan menerima e-mel atau notifikasi melalui aplikasi. Jika masih belum diterima selepas tempoh tersebut, anda boleh WhatsApp 014-9137226.","Ultrasound Image, Video",""
Berapa lama jarak yang sesuai antara imbasan ultrasound?,"Jarak antara imbasan ultrasound bergantung kepada keadaan individu dan nasihat perubatan. Bagi kehamilan normal, imbasan biasanya dijadualkan pada peringkat tertentu dan bukan berdasarkan jarak masa tetap.

Imbasan tambahan mungkin disarankan jika terdapat keperluan pemantauan lanjut atau keadaan tertentu.",General Ultrasound Queries,""
Bolehkah imbasan ultrasound mengesan masalah awal seperti kecacatan janin atau kandungan luar rahim?,"Ya, imbasan ultrasound boleh membantu mengesan masalah awal seperti kecacatan janin tertentu serta kehamilan luar rahim. Ia juga digunakan untuk memantau perkembangan janin dan menilai keadaan rahim serta tiub fallopio.",General Ultrasound Queries,""
Apakah persediaan yang perlu dibuat sebelum menjalani ultrasound? Perlu minum air atau tidak?,"Persediaan bergantung kepada jenis imbasan. Untuk sesetengah imbasan, terutamanya pada peringkat awal kehamilan, anda mungkin disarankan untuk minum air dan menahan kencing selama kira-kira 1 jam supaya pundi kencing penuh. Ini membantu menghasilkan imej yang lebih jelas. Bagi imbasan lain, full bladder mungkin tidak diperlukan.",General Ultrasound Queries,""
Adakah terdapat caj untuk cetakan gambar imbasan ultrasound?,"Ya, terdapat caj tambahan untuk cetakan gambar imbasan. Harga mungkin berbeza mengikut cawangan.",Ultrasound Image,""
Perlukah repeat scan dibuat dalam tempoh 2 minggu?,"Ya, repeat scan biasanya sah dalam tempoh 2 minggu dari tarikh imbasan asal. Ini bagi memastikan pemerhatian semula masih tepat dan imej masih relevan. Jika melebihi tempoh ini, sebarang promosi atau diskaun mungkin tidak lagi terpakai dan harga akan kembali kepada harga pakej biasa.",General Ultrasound Queries,""
Adakah anatomy scan dan detail scan sama?,"Kedua-dua anatomy scan dan detail scan adalah pemeriksaan ultrasound menyeluruh, biasanya dilakukan antara minggu 18–24 kehamilan untuk melihat organ, struktur, dan perkembangan bayi.

Perbezaannya ialah anatomy scan biasanya dilakukan oleh sonographer, manakala detail scan pula dilakukan oleh doktor pakar (O&G).",General Ultrasound Queries,""
Apakah perbezaan antara pakej VIP dan pakej biasa?,"Untuk pakej biasa, masa menunggu mungkin sehingga 60 minit. Manakala untuk pakej VIP, anda akan diberi keutamaan dan dilayan dalam masa sekitar 5 minit selepas ketibaan.",VIP Package,""
Kenapa App Store meminta saya memasukkan maklumat kad kredit semasa memuat turun aplikasi Flabee Care?,"Semasa memuat turun aplikasi Flabee Care melalui iPhone, Apple App Store mungkin meminta maklumat kad kredit anda sebagai sebahagian daripada proses pengesahan akaun dan pembayaran. Keperluan ini ditetapkan oleh pihak Apple untuk pengguna iOS dan bukan dikawal oleh Flabee Care atau penyedia perkhidmatan.

Untuk makluman, tiada sebarang caj akan dikenakan oleh Flabee Care kecuali sekiranya anda membuat tempahan janji temu atau pembelian perkhidmatan dalam aplikasi. Anda boleh meneruskan untuk memasukkan maklumat tersebut bagi menggunakan aplikasi ini.

Maklumat tersebut diuruskan dengan selamat melalui sistem Apple dan mungkin digunakan untuk pembelian aplikasi, langganan, atau perkhidmatan digital lain yang berkaitan dengan Apple ID anda.

Untuk maklumat lanjut, puan boleh merujuk polisi rasmi Apple melalui pautan berikut:
https://support.apple.com/en-gb/102632",Payment,""
boleh bg link yg bgtau kita xrefund pt kalo dia xbt cancellations?,"🔹 1. Pembatalan Awal (2 jam sebelum appointment)
✅ Refund penuh, tiada caj 10%

🔹 2. Pembatalan Last Minute / Contact dalam 5 hari selepas appointment
❗ Refund dikenakan caj 10%

🔹 3. Tidak Hadir & Tidak Contact dalam 5 hari
⛔ Deposit burn, sistem auto cancel

🔹 4. Kes Khas (contoh: miscarriage / MC dari Sonobee)
✅ Full refund walaupun last minute — kena maklumkan kami",general,https://flabee.com/refund-policy/
"Kalau patient lewat sampai, lepas 15 minit, tapi dia nak tukar tarikh — betul ke dia kena cancel dulu dan buat booking baru, dan refund cuma dapat 20% je?","Kalau lewat hadir:
A) Cancel & book semula (caj 10%)
B) Teruskan scan hari yang sama tapi kena bayar harga walk-in",general,""
pt tak boleh login flabee apps.. remark( number already exist),"Sila semak nama / email / no telefon customer di admin portal dulu.
Lepas tu, maklumkan email yang betul kepada customer.
Minta customer login semula guna fungsi ""Forgot Password"" di app.",general,""
"Di website ada slot, tapi di app tiada. Yang mana satu betul?",Boleh semak listing booking di admin portal ya untuk pastikan slot yang betul.,general,""
Slot kurang sejam Masih boleh book?,"Ya, boleh buat tempahan selagi slot itu masih tersedia dan dibuat sekurang-kurangnya 30 minit sebelum masa appointment.",general,""
Kenapa pt ni ada dua Masa appointment pada hari yg sama? Pt hanya membuat bayaran sekali sahaja,CS perlu semak di admin portal dan sahkan slot yang perlu pt hadir.,general,""
topup flabee care wallet ada caj rm1?,"Ada, asal below RM 50 top up atau deposit amount ada caj RM 1 handling fee",general,""
ini button utk apa ya? Sbb ada pt  tekan ini Dan kena juga utk create acc tu. Apa beza sign up as guest ni?,"Ini bermaksud pengguna tidak perlu daftar akaun secara penuh (dengan email/password), tapi boleh terus guna servis tersebut secara sementara. Biasanya digunakan untuk:

Tempahan cepat,

Tak mahu simpan data pengguna,

Tak mahu guna email/perlu log masuk.


Tetapi kelemahan mod ""Guest"" ini ialah:

Tiada rekod akaun (susah nak track status tempahan, resit, history),

Tak boleh guna fungsi penuh,

Kalau log keluar, kena isi semula dari awal kalau nak guna balik.",general,""
Flabee credit ada expired?,Buat masa sekarang tiada lagi,general,""
boleh cek kenapa pt ni kata dh byk Kali try payment tak boleh?,"Lain kali kalau ada customer complain payment masalah, suruh dia cuba payment method lain dulu, benda macam bank downtime ini kita tak akan tahu",general,""
"nk tanya pt dh book appt, kalau balance tu blh ke pt bayar pakai flabee wallet tu ?","boleh, suruh inform sono..sono sudah ada sop sendiri",general,""
"ada 1 pt sblm ni dh pernah admin tolong reschedule takde tolak fee. Alasan tak available

Utk harini dah nak dekat waktu appointment japlg (4.15pm) dia minta2 tukar lg",caj 10% untuk cancelation.. ikut polisi 2jam,general,""
Knp hrga walk in still rm88?,Pergi Invoice > Edit Package > tukar kepada pakej lain > tukar balik kepada pakej original + tick walk in,general,""
Pt tak boleh guna promo code repeat scan,Mohon semak dahulu sama ada pakej dan lokasi yang dipilih adalah sama.,general,""
customer sudah bayar tetapi di flabee apps appointment failed.boleh bantu?,"Sila berikan butiran pelanggan dan screenshot bukti bayaran untuk semakan

Cs perlu membuat semula tempahan (booking) seperti biasa..minta pelanggan semak akaun bank pada keesokan hari – ada kemungkinan tinggi pihak bank akan membuat pemulangan (refund) secara automatik sekiranya transaksi gagal.",general,""
tak dapat otp,"sila bagi detail dan screen recording. For otp luar negara, semua akan hantar kepada whatsapp",general,""
sono mc boleh dapat full refund?,ya,general,""
slot 1/1 boleh double?,"tak, kalau 1/1 means sudah penuh, jgn book slot itu kalau tak nanti sono complain double booking",general,""
"pt ni dia dh booking guna promo code tu, then dia cancel sbb tersilap masa, kira promo code dia tu dh xboleh guna ke? Sbb dia cuba buat skli lg dh xboleh",ya promo code burn.sepatutnya pt perlu reschedule bukan cancel.. cs perlu tolong pt manual booking.,general,""
online banking tgh problem? customer tak boleh payment.,minta customer cuba payment method lain.. jika masih tidak boleh cs tolong booking,general,""
"Hi nak tanya, macam mana nak upgrade/downgrade pakej untuk pt ya? Maaf tak pernah cuba lagi, selalu pt yang buat sendiri, kali ni pt tak boleh buat.","Inform customer slot vip dan package biasa memang tak sama,  itu sebab saya tak benarkan CS downgrade",general,""
"hi, boleh tlg cek utk pt ni.. xde masuk lagi refund dlm flabee wallet dia","In summary:
A) kalau customer submit cancenl 2 jam sebelum appointment,  tak ada caj 10%

B) kalau customer last minute cancel atau call utk minta refund dalam 5 hari, CS caj 10%

C) kalau miss appointment dan tak contact kita dalam 5 hari, sistem auto cancel dan semua deposit dia burn",general,""
What is phototherapy for babies?,"Phototherapy is a treatment used for babies with jaundice, where the skin appears yellow due to high bilirubin levels. It uses a specific wavelength of blue light to convert bilirubin into a form that can be safely removed from the body.",Phototherapy,""
How do I know if my baby needs phototherapy treatment?,"Phototherapy is recommended when bilirubin levels exceed safe thresholds based on your baby’s age, weight, and condition, as determined by a doctor through a blood test. Common signs include yellowing of the skin and eyes. Babies with rapidly rising or high bilirubin levels require treatment to prevent complications.",Phototherapy,""
Does every baby with jaundice need phototherapy?,No. Most newborn jaundice is mild and resolves naturally. Phototherapy is only required when bilirubin levels exceed medical thresholds based on clinical guidelines and assessment.,Phototherapy,""
Why does my baby develop jaundice?,Jaundice occurs because a newborn’s liver is still developing and may not process bilirubin efficiently. This condition is common in the first few days after birth and usually improves as the baby matures.,Phototherapy,""
Can jaundice be prevented?,"Physiological jaundice cannot be completely prevented as it is part of a newborn’s natural adaptation. However, early and frequent feeding may help reduce bilirubin levels by supporting elimination through urine and stool.",Phototherapy,""
Is phototherapy safe for my baby?,"Yes, phototherapy is a safe and widely used treatment when conducted correctly. Babies are protected with eye covers, and body temperature and hydration are monitored throughout the session.",Phototherapy,""
Can phototherapy be done at home? Is it as effective as hospital treatment?,"Yes, home phototherapy can be effective when using approved medical-grade equipment and proper guidance. It allows treatment in a comfortable environment while maintaining clinical effectiveness, provided the baby meets eligibility criteria and is monitored appropriately.",Phototherapy,""
What features does the phototherapy machine include?,"The phototherapy system includes:
(a) Double LED light technology for more effective bilirubin reduction
(b) Hospital-grade, KKM-approved and MDA-certified equipment
(c) Baby bassinet for safe and stable positioning
(d) Protective eye patches to protect the baby’s eyes
(e) Portable and compact design for home use
(f) Complete setup with guidance support
These features ensure safe, consistent, and effective treatment at home.",Phototherapy,""
What happens during a phototherapy session?,"During the session:
(a) Your baby is placed under or on the phototherapy light
(b) Your baby wears only a diaper to maximise light exposure
(c) Eye protection is applied
(d) Feeding and bonding continue during breaks",Phototherapy,""
What is the maximum duration during a phototherapy session?,Phototherapy is often carried out continuously with short breaks for feeding and care. Continuous exposure improves effectiveness in reducing bilirubin levels.,Phototherapy,""
What improvements can I observe after phototherapy?,"You may notice reduced yellowing of the skin and eyes, improved feeding, and increased alertness. Bilirubin levels are typically monitored to confirm progress, and levels often decrease within hours to days of treatment.",Phototherapy,""
What are the warning signs of severe jaundice?,"Seek medical attention immediately if your baby:
(a) Appears very yellow including palms and soles
(b) Is extremely sleepy or difficult to wake
(c) Refuses to feed
(d) Has a high-pitched or unusual cry
These may indicate more serious conditions requiring urgent care.",Phototherapy,""
What are the warning signs to stop phototherapy immediately?,"Stop the session and seek medical advice if you notice:
(a) Baby becomes unusually lethargic
(b) Poor feeding or refusal to feed
(c) Fever or signs of dehydration
(d) Worsening jaundice or unusual symptoms",Phototherapy,""
What are the benefits of home phototherapy rental service?,"Home phototherapy allows your baby to receive treatment in a familiar environment, reducing stress and avoiding hospital admission. Parents can monitor closely while using hospital-grade equipment with proper guidance, ensuring both comfort and effectiveness.",Phototherapy,""
Apakah fototerapi untuk bayi?,"Fototerapi ialah rawatan yang digunakan untuk bayi yang mengalami jaundis, di mana kulit kelihatan kuning disebabkan oleh tahap bilirubin yang tinggi. Ia menggunakan panjang gelombang cahaya biru tertentu untuk menukar bilirubin kepada bentuk yang boleh dikeluarkan dengan selamat dari badan.",Phototherapy,""
Bagaimanakah saya tahu jika bayi saya memerlukan rawatan fototerapi?,"Fototerapi disyorkan apabila tahap bilirubin melebihi ambang selamat berdasarkan umur, berat badan dan keadaan bayi anda, seperti yang ditentukan oleh doktor melalui ujian darah. Tanda-tanda biasa termasuk kekuningan pada kulit dan mata. Bayi dengan tahap bilirubin yang meningkat dengan cepat atau tinggi memerlukan rawatan untuk mencegah komplikasi.",Phototherapy,""
Adakah setiap bayi yang menghidap jaundis memerlukan fototerapi?,Tidak. Kebanyakan jaundis bayi baru lahir adalah ringan dan hilang secara semula jadi. Fototerapi hanya diperlukan apabila tahap bilirubin melebihi ambang perubatan berdasarkan garis panduan dan penilaian klinikal.,Phototherapy,""
Mengapakah bayi saya mengalami jaundis?,Jaundis berlaku kerana hati bayi yang baru lahir masih dalam perkembangan dan mungkin tidak memproses bilirubin dengan cekap. Keadaan ini biasa berlaku dalam beberapa hari pertama selepas kelahiran dan biasanya bertambah baik apabila bayi semakin matang.,Phototherapy,""
Bolehkah jaundis dicegah?,"Jaundis fisiologi tidak dapat dicegah sepenuhnya kerana ia adalah sebahagian daripada penyesuaian semula jadi bayi baru lahir. Walau bagaimanapun, penyusuan awal dan kerap boleh membantu mengurangkan tahap bilirubin dengan menyokong perkumuhan melalui air kencing dan najis.",Phototherapy,""
Adakah fototerapi selamat untuk bayi saya?,"Ya, fototerapi adalah rawatan yang selamat dan digunakan secara meluas apabila dijalankan dengan betul. Bayi dilindungi dengan penutup mata, dan suhu badan serta penghidratan dipantau sepanjang sesi.",Phototherapy,""
Bolehkah fototerapi dilakukan di rumah? Adakah ia seefektif rawatan di hospital?,"Ya, fototerapi di rumah boleh berkesan apabila menggunakan peralatan gred perubatan yang diluluskan dan panduan yang betul. Ia membolehkan rawatan dalam persekitaran yang selesa sambil mengekalkan keberkesanan klinikal, dengan syarat bayi memenuhi kriteria kelayakan dan dipantau dengan sewajarnya.",Phototherapy,""
Apakah ciri-ciri yang disertakan dengan mesin fototerapi?,"Sistem fototerapi merangkumi:
(a) Teknologi cahaya LED berganda untuk pengurangan bilirubin yang lebih berkesan
(b) Peralatan gred hospital, diluluskan KKM dan diperakui MDA
(c) Buaian bayi untuk kedudukan yang selamat dan stabil
(d) Pelindung mata untuk melindungi mata bayi
(e) Reka bentuk mudah alih dan padat untuk kegunaan di rumah
(f) Persediaan lengkap dengan sokongan panduan
Ciri-ciri ini memastikan rawatan yang selamat, konsisten dan berkesan di rumah.",Phototherapy,""
Apa yang berlaku semasa sesi fototerapi?,"Semasa sesi:
(a) Bayi anda diletakkan di bawah atau di atas lampu fototerapi
(b) Bayi anda hanya memakai lampin untuk memaksimumkan pendedahan cahaya
(c) Pelindung mata dikenakan
(d) Pemberian makanan dan ikatan berterusan semasa rehat",Phototherapy,""
Apakah tempoh maksimum semasa sesi fototerapi?,Fototerapi sering dijalankan secara berterusan dengan rehat pendek untuk memberi makan dan penjagaan. Pendedahan berterusan meningkatkan keberkesanan dalam mengurangkan tahap bilirubin.,Phototherapy,""
Apakah peningkatan yang boleh saya perhatikan selepas fototerapi?,"Anda mungkin mendapati pengurangan kekuningan pada kulit dan mata, pemakanan yang lebih baik, dan peningkatan kewaspadaan. Tahap bilirubin biasanya dipantau untuk mengesahkan kemajuan, dan tahapnya selalunya menurun dalam beberapa jam hingga beberapa hari selepas rawatan.",Phototherapy,""
Apakah tanda-tanda amaran jaundis yang teruk?,"Dapatkan rawatan perubatan dengan segera jika bayi anda:
(a) Kelihatan sangat kuning termasuk tapak tangan dan tapak kaki
(b) Sangat mengantuk atau sukar untuk dikejutkan
(c) Enggan menyusu
(d) Menangis dengan nada tinggi atau luar biasa
Ini mungkin menunjukkan keadaan yang lebih serius yang memerlukan rawatan segera.",Phototherapy,""
Apakah tanda-tanda amaran untuk menghentikan fototerapi dengan segera?,"Hentikan sesi dan dapatkan nasihat perubatan jika anda perasan:
(a) Bayi menjadi sangat lesu
(b) Kurang makan atau enggan makan
(c) Demam atau tanda-tanda dehidrasi
(d) Jaundis yang semakin teruk atau gejala yang luar biasa",Phototherapy,""
Apakah faedah perkhidmatan penyewaan fototerapi di rumah?,"Fototerapi di rumah membolehkan bayi anda menerima rawatan dalam persekitaran yang biasa, mengurangkan tekanan dan mengelakkan kemasukan ke hospital. Ibu bapa boleh memantau dengan teliti semasa menggunakan peralatan gred hospital dengan panduan yang betul, memastikan keselesaan dan keberkesanannya.",Phototherapy,""
Bagaimana cara untuk menempah sewa mesin ini?,Sila hubungi khidmat pelanggan kami di +60143447226 untuk menyemak ketersediaan mesin terlebih dahulu sebelum membuat tempahan dan pembayaran.,Phototherapy,""
How can I rent this machine?,Please contact our customer service team at +60143447226 to check the machine’s availability before proceeding with your booking and payment,Phototherapy,""
